ST_LEAID,MEMBER
FL-06,254732
FL-08,16834
FL-11,48082
FL-13,334090
FL-14,4582
FL-22,1819
FL-25,4901
FL-26,13859
FL-28,12362
FL-29,224538
FL-31,17199
FL-36,99354
FL-41,51234
FL-43,18650
FL-44,8929
FL-47,6398
FL-49,73558
FL-50,188843
FL-52,93702
FL-53,109558
FL-58,45077
FL-56,45661
TX-240903,41381
TX-240904,245
TX-245904,211
TX-214903,5977
TX-124901,1072
TX-245901,351
TX-178906,1578
TX-066902,1495
TX-066901,353
TX-004901,3044
TX-178908,546
TX-178901,408
TX-178902,1410
TX-178912,3655
TX-178905,287
TX-178909,2543
TX-178915,1929
TX-178914,5732
TX-205903,2023
TX-125906,102
TX-066005,21
TX-205904,1485
TX-013905,752
TX-125905,757
TX-125902,494
TX-196902,427
TX-125901,4506
TX-125903,1755
TX-137903,478
TX-024901,1285
TX-205907,822
TX-205901,1700
TX-205902,4937
TX-205906,2071
TX-108915,865
TX-108911,9732
TX-108916,3739
TX-108913,16491
TX-205905,897
TX-108903,4366
TX-108914,566
TX-108906,20399
TX-108907,4457
TX-178913,843
TX-031903,17034
TX-031906,10565
TX-031912,9354
TX-178903,3952
TX-178904,33387
TX-108902,13165
TX-108905,3010
TX-245902,1396
TX-108909,30003
TX-031905,2926
TX-031911,1622
TX-031914,915
TX-031909,1930
TX-066903,734
TX-137902,655
TX-137904,823
TX-137901,2694
TX-240901,20932
TX-214901,9644
TX-214902,181
TX-108904,33911
TX-108912,24804
TX-108908,14502
TX-108910,1444
TX-245903,2018
TX-131001,98
TX-031901,37898
TX-031913,567
TX-253901,3376
AS-4190000,0
PR-01,250668
VI-001,5094
AZ-4454,360
AZ-4453,4002
AZ-4515,126
AZ-4506,200
AZ-4507,11380
AZ-4381,1906
AZ-4289,9632
AZ-4284,5406
AZ-4285,16535
AZ-4286,27900
AZ-4287,12664
AZ-4288,13741
AZ-4488,1235
AZ-4190,106
AZ-4462,79
CA-0461515,2346
CA-3066431,27748
CA-3066548,14522
CA-4970862,4926
CA-2165466,2668
CA-2165482,4837
CA-3367207,11731
CA-0961853,6716
CA-5872769,1096
CA-4369427,21148
CA-4369609,4448
CA-4369468,10019
CA-4369534,3269
CA-4369401,8639
CA-1563818,1186
CA-1563859,1854
CA-2465730,502
CA-2465789,11226
CA-5271506,1138
CA-5271639,1747
CA-3066514,13173
CA-3667652,23145
CA-4970607,1588
CA-4970920,10179
CA-1864139,864
CA-4269310,9251
CA-4269328,853
CA-4770250,66
CA-1062257,1232
CA-3567538,3556
CA-1262687,1785
CA-1262810,1066
CA-1964352,5898
CA-1965136,21011
CA-2065201,1145
CA-5071175,15579
CA-4168924,3884
CA-3667934,11357
CA-3467355,2066
CA-2966357,2489
CA-3768106,6881
CA-3768122,2096
CA-3768130,16738
CA-3768171,100
CA-3768346,12615
CA-3768411,36109
CA-1563412,4142
CA-5472249,5745
CA-0761630,5420
CA-0761721,8233
CA-1363115,4093
CA-1964246,22035
CA-1964519,7882
CA-1965128,10614
CA-0561556,636
CA-5171373,310
CA-5171449,802
CA-4169047,8942
CA-4169062,8599
CA-2766068,2762
CA-2766159,16337
CA-1663925,4237
CA-1663982,1946
CA-3166894,4012
CA-3166928,10570
CA-4770466,531
CA-4770516,733
CA-4469823,4394
CA-4570136,4265
CA-1563529,43020
CA-2365599,130
CA-1363081,2055
CA-4569856,1622
CA-5672546,16938
CA-5572389,1087
CA-5572413,668
MT-0134,107
MT-0428,531
MT-1229,148
MT-1237,65
MT-0207,343
MT-0228,29
MT-0733,349
MT-0966,5610
MT-0457,284
MT-0454,144
MT-0783,52
MT-0613,418
MT-0331,354
MT-0528,306
MT-0520,128
MT-0884,103
MT-0891,116
MT-0895,37
MT-0584,3966
MT-1189,512
MT-1214,58
MT-1190,172
MT-0805,201
MT-0097,43
MT-0882,161
MT-0006,339
MT-0778,94
MT-0787,38
MT-0776,276
MT-0259,356
MT-0812,67
MT-0313,687
MT-0311,3101
MT-0335,581
MT-0769,43
MT-0748,29
MT-0746,387
MT-1228,50
MT-0369,994
MT-0351,2631
MT-0348,239
MT-0361,278
MT-0355,9
MT-0031,163
MT-0029,114
MT-0045,16
MT-1212,1317
MT-0706,74
MT-0657,10
MT-0192,495
MT-0971,619
MT-0986,253
MT-0548,65
MT-0751,116
MT-0378,55
MT-0113,91
MT-0102,101
MT-0099,3095
MT-0118,101
MT-0105,69
MT-0911,120
MT-0269,18
MT-0282,10
MT-0274,16
MT-0949,3
MT-0781,225
MT-0237,281
MT-0713,186
MT-0862,71
MT-0979,56
MT-0849,244
MT-0847,102
MT-0859,18
MT-0851,19
MT-0503,24
MT-0488,2514
MT-0475,145
MT-1206,83
MT-0478,524
MT-1200,416
MT-0675,153
MT-0680,46
MT-0797,151
MT-0791,99
MT-1230,169
MT-0608,33
MT-1234,53
MT-0426,108
MT-0928,31
MT-0933,26
MT-0420,63
MT-1191,56
MT-0538,60
MT-0061,139
MT-0057,176
MT-0401,563
MT-0403,227
MT-0606,172
OR-00000000002023,981
AZ-4486,475
AZ-4514,124
AZ-4162,123
AZ-4487,1823
AZ-4276,7766
AZ-4249,142
AZ-4280,10157
AZ-4274,279
AZ-4272,5898
AZ-4161,59
AZ-4178,12
AZ-4177,86
AZ-4179,32
AZ-4187,31
AZ-4185,106
AZ-4268,2176
AZ-4269,5725
AZ-4282,14338
AZ-4263,5075
AZ-4273,3815
AZ-4271,9450
AZ-4481,340
AZ-4479,102
AZ-4480,76
AZ-4231,0
AZ-4224,103
AZ-4223,-2
AZ-4513,44
AZ-4378,2394
AZ-4371,58
AZ-4484,131
AZ-4483,10
AZ-4446,6579
AZ-4198,-2
AZ-4160,183
AZ-4416,639
AZ-4501,6077
AZ-4505,5133
AZ-4502,86
AZ-4448,787
AZ-4415,-2
AZ-4259,5077
AZ-4267,14401
AZ-4266,4450
AZ-4281,10828
AZ-4278,5877
AZ-4270,5844
AZ-4199,137
AZ-4418,585
AZ-4253,30
AZ-4379,1201
AZ-4444,399
AZ-4215,84
AZ-4180,914
AZ-4460,101
AZ-4214,96
AZ-4447,445
AZ-4417,-2
AZ-4449,447
AZ-4414,19
AZ-4459,183
AZ-4478,38
AZ-4222,197
AZ-4461,149
AZ-4451,403
AZ-4255,112
AZ-4450,1133
AZ-4376,107
AZ-4380,91
AZ-4475,-2
AZ-4261,1077
AZ-4163,124
AZ-4176,276
AZ-4181,44
AZ-4503,163
AZ-4500,2877
AZ-4504,156
AZ-4251,147
AZ-4250,38
AZ-4265,1229
AZ-4262,2538
AZ-4275,446
AZ-4283,8266
AZ-4256,5249
AZ-4373,12
AZ-4186,143
AZ-4188,102
AZ-4452,165
AZ-4511,137
AZ-4512,80
AZ-4257,822
AZ-4279,7214
AZ-4258,10759
AZ-4482,6
AZ-4264,2859
AZ-4277,1685
AZ-4260,19328
AZ-4485,33
AZ-4377,38
AZ-4499,9117
AZ-4213,47
CA-5472207,95
CA-5472082,508
CA-5472215,519
CA-5472116,367
CA-5471969,405
CA-5472181,320
CA-5472231,9172
CA-5472157,703
CA-5472140,116
CA-1162554,185
CA-1162596,185
CA-1162638,199
CA-0961929,843
CA-0961978,3520
CA-0961887,520
CA-0961986,13
CA-0961838,4274
CA-0961952,1167
CA-0961960,590
CA-0961879,466
CA-0961911,161
CA-0961945,275
CA-0961895,10
CA-0961846,412
CA-2175002,1724
CA-2165300,101
CA-2165318,1825
CA-2165334,1056
CA-2165342,16
CA-2165359,160
CA-2165367,1262
CA-2165391,2369
CA-2165409,34
CA-5471902,1442
CA-5472041,877
CA-5471894,138
CA-5471852,185
CA-5472298,413
CA-5472199,741
CA-5472025,130
CA-5472132,329
CA-5472090,310
CA-5471951,13
CA-2976877,609
CA-1276802,1104
CA-0161218,21
CA-0561572,765
CA-0561580,590
CA-2165425,1024
CA-2165433,358
CA-2165458,4290
CA-2165474,318
CA-1964501,7045
CA-1964550,4279
CA-1964600,1277
CA-1964931,2334
CA-1964691,4563
CA-3767967,1523
CA-3767991,15337
CA-3768007,642
CA-3768023,22226
CA-3768049,84
CA-3768056,3748
CA-3768080,4648
CA-3768098,14322
CA-3768114,4979
CA-3768155,567
CA-3768163,275
CA-3768197,10745
CA-3768189,4538
CA-3768205,3171
CA-3768221,4344
CA-3768312,574
CA-3768353,486
CA-3768379,4260
CA-3768361,6151
CA-3367231,4545
CA-3367157,2161
CA-3367116,11816
CA-3367199,5540
CA-1964485,7717
CA-3064766,3014
CA-1965037,2317
CA-1964758,1253
CA-1965110,5495
CA-1964717,3779
CA-1964592,7093
CA-1964816,4944
CA-1965078,892
CA-1964477,3126
CA-1964832,5927
CA-1964642,2549
CA-1964998,9097
CA-1965045,5210
CA-1964857,17788
CA-1965102,8911
CA-1964584,83
CA-1965151,1230
CA-1964626,158
CA-3667793,93
CA-1463305,63
CA-1864105,315
CA-1864113,198
CA-4168858,322
CA-4168866,3945
CA-4168874,455
CA-4168882,3284
CA-4168908,1294
CA-4168916,4956
CA-4168932,2759
CA-4168957,1151
CA-4168965,2705
CA-4168973,2075
CA-4168981,515
CA-4168999,1489
CA-4169005,6346
CA-4169013,2019
CA-4169021,2700
CA-1563313,2946
CA-1563321,28835
CA-1563339,1941
CA-1563354,17
CA-1563362,19107
CA-1563370,313
CA-1563388,74
CA-1563404,6219
CA-1563420,229
CA-1563438,1092
CA-1563446,163
CA-1864162,9
CA-1864170,191
CA-1864188,207
CA-1864196,1044
CA-3968544,2623
CA-3968619,177
CA-3968627,1651
CA-3968635,379
CA-5071324,169
CA-3467348,3352
CA-4169039,10067
CA-4169088,371
CA-1563461,2678
CA-1563479,3031
CA-1563487,179
CA-1563503,9177
CA-1563545,814
CA-1563552,1570
CA-1563560,2696
CA-1563578,2575
CA-1563594,262
CA-1563610,294
CA-1563651,79
CA-1061994,181
CA-1062026,28
CA-1062042,125
CA-1062109,241
CA-1062240,2135
CA-4569872,331
CA-4569880,224
CA-4569914,1079
CA-4569922,36
CA-4569948,754
CA-4569955,892
CA-4569971,3592
CA-4569997,18
CA-4570003,645
CA-1062323,169
CA-5472009,429
CA-1062331,254
CA-1062356,344
CA-1062372,69
CA-1062380,256
CA-1062513,449
CA-4770185,153
CA-4570011,488
CA-4570029,30
CA-4570045,381
CA-4570052,241
CA-4573700,82
CA-4570078,256
CA-4570086,45
CA-4570094,680
CA-4570110,2917
CA-4570128,87
CA-4570169,63
CA-2465631,4930
CA-2465649,369
CA-2465680,148
CA-2465722,337
CA-2465748,2504
CA-2465763,883
CA-2465771,10973
CA-2473726,275
CA-2465813,108
CA-2465821,871
CA-2465839,53
CA-2465862,3130
CA-2465870,1904
CA-4770193,16
CA-4770201,166
CA-4770227,57
CA-4770243,93
CA-4770292,0
CA-4770318,35
CA-4770326,193
CA-4770334,108
CA-4770359,35
CA-4770367,13
CA-4770375,6
CA-4770383,12
CA-4770409,48
CA-4770417,169
CA-4770425,465
CA-4469732,115
CA-4469757,120
CA-4469765,1691
CA-4469773,160
CA-4469781,154
CA-4469815,1724
CA-4469849,1654
CA-1062539,511
CA-1062547,136
CA-4770458,19
CA-4770482,323
CA-4770490,44
CA-4770508,889
CA-4269104,118
CA-4269112,189
CA-4269120,16703
CA-4269138,519
CA-4269161,193
CA-4269179,202
CA-4269195,3416
CA-4269203,1279
CA-4269211,839
CA-4269245,163
CA-4269252,353
CA-4269260,4717
CA-4269336,593
CA-4269344,39
CA-3768387,2725
CA-3768395,5859
CA-3768403,44
CA-3768437,188
CA-1964709,4128
CA-1964345,1896
CA-1964667,14001
CA-1363073,3868
CA-1363123,5256
CA-1363131,1186
CA-1363172,125
CA-1363180,1209
CA-1363198,384
CA-1363206,65
CA-1363222,346
CA-1363230,335
CA-1663875,1138
CA-1663883,1675
CA-1663917,5525
CA-1663933,392
CA-1663941,823
CA-1663958,434
CA-1663966,238
CA-1663974,3229
CA-3667918,12420
CA-3667587,7742
CA-3667827,94
CA-3667694,2299
CA-3667785,3035
CA-3667645,4267
CA-3667702,13400
CA-3667819,18471
CA-3667595,5498
CA-3667736,1103
CA-1663990,1573
CA-5472223,224
CA-3166779,90
CA-3166795,342
CA-3166787,1548
CA-3166845,2889
CA-3166886,766
CA-4068726,171
CA-2065177,397
CA-2065185,846
CA-2065193,2155
CA-3166761,596
CA-3166803,6474
CA-3166910,11583
CA-3166829,3152
CA-3166852,436
CA-3166837,447
CA-3467322,212
CA-1573544,1012
CA-1563750,6041
CA-1262737,152
CA-1262745,562
CA-1262794,108
CA-1563768,151
CA-1563784,344
